system:index,elevation,point_id,.geo
000000000000000001b6_0,216,438.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2217241060656363,41.48357017921105]}"
0000000000000000015e_0,9,350.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.140606235909644,41.3472059190817]}"
00000000000000000317_0,10,791.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0821259109134473,41.328071803529966]}"
0000000000000000029d_0,33,669.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0390067772757163,41.34478046781459]}"
000000000000000002f7_0,19,759.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1939661637863423,41.40945916827119]}"
00000000000000000380_0,7,896.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.128209484988787,41.329419276456136]}"
00000000000000000022_0,120,34.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2438226620549813,41.470095449949255]}"
000000000000000001e1_0,236,481.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.048978076929444,41.42994075674912]}"
000000000000000000fa_0,168,250.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1497690518076524,41.46066313946601]}"
000000000000000000b7_0,396,183.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1131177882155896,41.42428137045916]}"
000000000000000000ab_0,166,171.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0691901708221394,41.455812236931756]}"
0000000000000000032f_0,82,815.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.079430965061107,41.37065194799723]}"
00000000000000000098_0,90,152.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1508470301486113,41.36634003463345]}"
000000000000000000f0_0,113,240.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.126592517477377,41.39840989027652]}"
00000000000000000351_0,55,849.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.178065983257426,41.46066313946601]}"
000000000000000002d8_0,442,728.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.111770315289391,41.42940176757864]}"
00000000000000000020_0,116,32.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1815694128654854,41.47710230916539]}"
00000000000000000014_0,216,20.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1562369218533206,41.453386785664634]}"
000000000000000000b3_0,76,179.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.06865118165166,41.37846729096907]}"
00000000000000000148_0,186,328.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.129826452500197,41.46012415029553]}"
0000000000000000036c_0,126,876.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1505775355633716,41.47737180375063]}"
000000000000000003b2_0,132,946.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1309044308411558,41.40326079281077]}"
0000000000000000015a_0,276,346.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0966786185161936,41.404069276566474]}"
0000000000000000017c_0,83,380.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.129826452500197,41.38978606354897]}"
000000000000000003e1_0,330,993.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1373723008867955,41.4426070022552]}"
00000000000000000124_0,7,292.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2222630952361158,41.41484905997591]}"
000000000000000003d5_0,166,981.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.061374827850301,41.490846533012416]}"
00000000000000000126_0,16,294.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0414322285428455,41.35582974580926]}"
000000000000000000b0_0,72,176.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1494995572224127,41.39409797691275]}"
00000000000000000365_0,13,869.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1176991961645797,41.3472059190817]}"
000000000000000003b7_0,198,951.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0718851166745083,41.495158446376195]}"
000000000000000003de_0,17,990.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0982955860276036,41.35205682161595]}"
